{Date} {$+$animate DP} {$-$animate DP} {Propositional ellipsis}
1550   2.3             5.8             23.2
1650   5.5             12.6            20.6
1750   4.5             7.6             45.6
1850   1.4             43.7            87.1
1950   14.3            88.3            100
